Date,Crypto,Open,High,Low,Close,Volume
2018-12-09,Bitcoin,3473.228,3685.306,3469.094,3614.234,4947372847.0
2018-12-10,Bitcoin,3612.046,3647.333,3470.145,3502.656,5020968740.0
2018-12-11,Bitcoin,3497.555,3513.185,3392.25,3424.588,4696765188.0
2018-12-12,Bitcoin,3421.458,3534.229,3413.481,3486.95,4139364829.0
2018-12-13,Bitcoin,3487.879,3489.74,3298.132,3313.677,4343372456.0
2018-12-14,Bitcoin,3311.752,3329.556,3206.542,3242.485,4372763663.0
2018-12-15,Bitcoin,3243.998,3275.378,3191.303,3236.762,3551763561.0
2018-12-16,Bitcoin,3236.275,3305.753,3233.82,3252.839,3744248994.0
2018-12-17,Bitcoin,3253.123,3597.918,3253.123,3545.865,5409247918.0
2018-12-18,Bitcoin,3544.761,3701.349,3487.169,3696.059,5911325473.0
2018-12-19,Bitcoin,3706.825,3949.323,3687.23,3745.951,6810689119.0
2018-12-20,Bitcoin,3742.195,4191.229,3728.975,4134.441,8927129279.0
2018-12-21,Bitcoin,4133.704,4198.43,3850.946,3896.544,7206015706.0
2018-12-22,Bitcoin,3898.084,4014.183,3855.739,4014.183,5605823233.0
2018-12-23,Bitcoin,4020.995,4085.724,3976.406,3998.98,6151275490.0
2018-12-24,Bitcoin,4000.332,4271.792,4000.332,4078.599,7240968501.0
2018-12-25,Bitcoin,4081.031,4089.562,3760.021,3815.491,6158207293.0
2018-12-26,Bitcoin,3819.667,3893.36,3769.864,3857.298,5326547918.0
2018-12-27,Bitcoin,3854.688,3874.417,3645.448,3654.833,5130222366.0
2018-12-28,Bitcoin,3653.132,3956.136,3642.632,3923.919,5631554348.0
2018-12-29,Bitcoin,3932.492,3963.759,3820.409,3820.409,4991655917.0
2018-12-30,Bitcoin,3822.385,3901.909,3797.219,3865.953,4770578575.0
2018-12-31,Bitcoin,3866.839,3868.743,3725.867,3742.7,4661840806.0
2019-01-01,Bitcoin,3746.713,3850.914,3707.231,3843.52,4324200990.0
2019-01-02,Bitcoin,3849.216,3947.981,3817.409,3943.409,5244856836.0
2019-01-03,Bitcoin,3931.049,3935.685,3826.223,3836.741,4530215219.0
2019-01-04,Bitcoin,3832.04,3865.935,3783.854,3857.718,4847965467.0
2019-01-05,Bitcoin,3851.974,3904.903,3836.9,3845.195,5137609824.0
2019-01-06,Bitcoin,3836.519,4093.297,3826.513,4076.633,5597027440.0
2019-01-07,Bitcoin,4078.585,4092.614,4020.894,4025.248,5228625637.0
2019-01-08,Bitcoin,4028.472,4109.021,3996.955,4030.848,5306593305.0
2019-01-09,Bitcoin,4031.552,4068.404,4022.663,4035.296,5115905225.0
2019-01-10,Bitcoin,4034.411,4064.067,3659.175,3678.925,6874143796.0
2019-01-11,Bitcoin,3674.015,3713.882,3653.07,3687.365,5538712865.0
